city,helpful_reader,hotel_locality,reviewer_location,hotel_url,title,content,hotel_address,hotel_name,hotel_review_stars,hotel_review_qty,review_stars,hotel_classs
Dieburg,1,"64807 Dieburg, Hessen, ","Roskilde, Dänemark",https://www.tripadvisor.de/Hotel_Review-g2049630-d2183470-Reviews-Mainzer_Hof-Dieburg_Hesse.html,Wieder ein guter Aufenhalt! :o),"
Das ist das zweite Mal, dass wir im Mainzer Hof gewohnt haben und wie beim ersten Mal ist es für uns das beste Hotel in Dieburg. Sehr zentral, schöne Zimmer, saubere Badezimmer, freundliches Personal. Wir kommen wieder! :o)
",Markt 22, Mainzer Hof ,3.5 von fünf Punkten,7 Bewertungen,4 von fünf Punkten,2.0 von 5
Münster bei Dieburg,,"64839 Münster bei Dieburg, Hessen, ",,https://www.tripadvisor.de/Hotel_Review-g1586890-d1591305-Reviews-Hotel_Am_Rathaus-Munster_bei_Dieburg_Hesse.html,Großzügiges Zimmer,"
Wir waren zwei Nächte in Münster und sind nach der ersten Nacht in einer anderen Unterkunft umgezogen. War problemlos möglich auch schon am frühen Morgen ein zu checken und wir haben für 3 Personen ein 4 Bett Zimmer bekommen. Nicht sehr modern eingerichtet aber sauber und die preisleistung stimmt mit Frühstück inbegriffen.
",Leibnizstrasse 6, Hotel Am Rathaus ,4.0 von fünf Punkten,9 Bewertungen,4 von fünf Punkten,
Groß-Zimmern,,"64846 Groß-Zimmern, Hessen, ","Wollongong, Australien",https://www.tripadvisor.de/Hotel_Review-g2022664-d2080295-Reviews-Hotel_An_der_Waldstrasse-Gross_Zimmern_Hesse.html,"Komfortabel, aber ein Ventilator würde nicht schaden","
Wir haben hier übernachtet, weil das Hotel nahe bei Frankfurt liegt, wo am nächsten Tag unser Flug starten sollte. Das Zimmer war groß und bot jede Menge Platz und das Bad war riesig mit einer Dusche mit einem starken Wasserstrahl. Allerdings lassen sich die Fenster nicht sehr weit öffnen und es gibt keine Klimaanlage, deshalb war es an diesem ersten heißen Tag des Sommers beim Einschlafen sehr ungemütlich. Keine Klimaanlage, da diese offensichtlich in Deutschland nicht sehr beliebt sind. Tolles Frühstück und freundliches Personal.
",Waldstr. 42, Hotel An der Waldstrasse ,3.5 von fünf Punkten,6 Bewertungen,4 von fünf Punkten,3.0 von 5
Groß-Zimmern,1,"64846 Groß-Zimmern, Hessen, ",,https://www.tripadvisor.de/Hotel_Review-g2022664-d2080295-Reviews-Hotel_An_der_Waldstrasse-Gross_Zimmern_Hesse.html,Sehr gutes hotel,"
Alles sauber, Bett gemütlich!",Waldstr. 42, Hotel An der Waldstrasse ,3.5 von fünf Punkten,6 Bewertungen,5 von fünf Punkten,3.0 von 5
Dieburg,4,"64807 Dieburg, Hessen, ",Darmstadt,https://www.tripadvisor.de/Hotel_Review-g2049630-d1752784-Reviews-Hotel_Restaurant_Monte_Somma-Dieburg_Hesse.html,Unfreundlich und schlechter Service,"
Wir waren für 2 Nächte mit einer größeren Gruppe in dem Hotel. Die Zimmerbelegung änderte sich durch unterschiedliche An- und Abreisen der Gruppenmitglieder. Obwohl die genauen Daten vorab besprochen und per Email übermittelt waren, lagen diese Informationen bei Ankunft nicht vor und die getroffenen Absprachen wurden bis zur Abreise immer wieder in Abrede gestellt. Neben der unfreundlichen, leicht ruppigen Art der Chefin war insbesondere sehr ärgerlich, dass sie ständig versuchte, Einzelzimmerbelegungen als Doppelzimmer abzurechnen, weshalb es am Ende sogar heftigen und lauten Streit gab.",Altheimer Str. 35, Hotel Restaurant Monte Somma ,3.5 von fünf Punkten,3 Bewertungen,1 von fünf Punkten,
Dieburg,4,"64807 Dieburg, Hessen, ","Mannheim, Deutschland",https://www.tripadvisor.de/Hotel_Review-g2049630-d1752784-Reviews-Hotel_Restaurant_Monte_Somma-Dieburg_Hesse.html,Super PreisLeistung und leckere Pizza,"
Ich war für 2 Tage im Hotel Monte Somma und kann es nur weiterempfehlen. Vor allem das dazugehörige Restaurant ist zu empfehlen, dort gibt es eine ausgezeichnete Pizza. Aber auch die Fisch und Fleischgerichte sind sehr zu lecker. Hier stimmt das Preisleistungsverhältnis. Der schöne Biergarten mit Terasse ist im Sommer sehr gemütlich.
",Altheimer Str. 35, Hotel Restaurant Monte Somma ,3.5 von fünf Punkten,3 Bewertungen,5 von fünf Punkten,
Dieburg,1,"64807 Dieburg, Hessen, ","Köln, Deutschland",https://www.tripadvisor.de/Hotel_Review-g2049630-d2183470-Reviews-Mainzer_Hof-Dieburg_Hesse.html,erste und einzige wahl am platz,"
Mit navi nahezu nicht zu finden und nur wenige Parkplätze im Hof liegt es trotzdem direkt am Marktplatz und sehr zentral. Das Personal wirkte dezent überfordert mit der Ankunft einer Gruppe von 10 Personen. Direkt im Eingang erschlägt einen der stickige Geruch von der nicht direkt zum Hotel gehörenden aber direkt angrenzenden bar.",Markt 22, Mainzer Hof ,3.5 von fünf Punkten,7 Bewertungen,3 von fünf Punkten,2.0 von 5
Groß-Zimmern,1,"64846 Groß-Zimmern, Hessen, ",,https://www.tripadvisor.de/Hotel_Review-g2022664-d2080295-Reviews-Hotel_An_der_Waldstrasse-Gross_Zimmern_Hesse.html,"Einfach, aber Preis- Leistungsverhältnis ok","
Es handelt sich um ein einfaches Hotel ohne jeglichen Komfort, der Preis von 62 Euro inkl. Frühstück ist jedoch angemessen. Die Zimmer sind sauber und ausreichend groß für eine oder zwei Nächte, für einen längeren Aufenthalt würde ich ein anderes Hotel wählen. Im gleichen Haus befindet sich das Restaurant “Auszeit“, dort erhält man als Hotelgast 10% Rabatt auf alle Speisen und Getränke. W-Lan ist gratis verfügbar. Das Frühstück war gut.
",Waldstr. 42, Hotel An der Waldstrasse ,3.5 von fünf Punkten,6 Bewertungen,3 von fünf Punkten,3.0 von 5
Groß-Zimmern,5,"64846 Groß-Zimmern, Hessen, ","Frankfurt am Main, Deutschland",https://www.tripadvisor.de/Hotel_Review-g2022664-d2080295-Reviews-Hotel_An_der_Waldstrasse-Gross_Zimmern_Hesse.html,Höhen und Tiefen,"
Das Hotel liegt zwischen Darmstadt und Frankfurt, etwas östlich, näher an Darmstadt. Demzufolge für Aufenthalte in FFM nicht so gut geeignet.",Waldstr. 42, Hotel An der Waldstrasse ,3.5 von fünf Punkten,6 Bewertungen,3 von fünf Punkten,3.0 von 5
Münster bei Dieburg,,"64839 Münster bei Dieburg, Hessen, ","Neumünster, Deutschland",https://www.tripadvisor.de/Hotel_Review-g1586890-d1591305-Reviews-Hotel_Am_Rathaus-Munster_bei_Dieburg_Hesse.html,"Preiswert , sauber und sehr freundlich","
Sehr netter Empfang, sauberes großes Zimmer, sehr gutes italienisches Restaurant im Haus, also alles TIP-TOP. Wir kommen gerne wieder. Das Personal war bei An- bzw. Abreise sehr freundlich und zuvorkommend. Bei fragen nach Ausflugszielen, wurde man sehr gut informiert und beraten. Die Ausstattung der Zimmer im Gästehaus ist zwar älter, aber die Sauberkeit der Zimmer ist sehr vorbildlich!
",Leibnizstrasse 6, Hotel Am Rathaus ,4.0 von fünf Punkten,9 Bewertungen,5 von fünf Punkten,
Münster bei Dieburg,,"64839 Münster bei Dieburg, Hessen, ","München, Deutschland",https://www.tripadvisor.de/Hotel_Review-g1586890-d1591305-Reviews-Hotel_Am_Rathaus-Munster_bei_Dieburg_Hesse.html,Preiswertes Hotel,"
Das Einzelzimmer war angemessen groß, hell und sehr sauber. Das Bad (Dusche) war ebenfalls sehr sauber. Am Frühstücksbuffet fehlt nichts wesentliches. Das Personal ist sehr freundlich. Die Zimmer sind ruhig, da das Hotel abseits der Hauptstraße liegt. Das Parken vor dem Hotel ist kostenlos. Restaurants und Cafes sind zu Fuß zu erreichen.
",Leibnizstrasse 6, Hotel Am Rathaus ,4.0 von fünf Punkten,9 Bewertungen,4 von fünf Punkten,
Münster bei Dieburg,,"64839 Münster bei Dieburg, Hessen, ","Remscheid, Deutschland",https://www.tripadvisor.de/Hotel_Review-g1586890-d1591305-Reviews-Hotel_Am_Rathaus-Munster_bei_Dieburg_Hesse.html,"Preis Leistung ist ok, im Umgebungsvergleich","
Vorweg möchte ich betonen, dass wir für 70 € die Nacht in anderen Gegenden schon deutlich bessere Häuser bekommen haben, aber in der Umgebung um Babenhausen, war dies von der Preis/Leistung zum Buchungszeitpunkt das beste Haus auf dem Papier. Nun gut, insgesamt wenig freundlich eingerichtet, aber zumindest war alles sauber. Einrichtung und Ausstattung war alt, aber ok, kleinere Mängel wie defekte Fliesen, abgeplatzter Lack an der Heizung sollten nach Möglichkeit behoben werden. Internet und der alte Röhrenfernseher funktionierten. Merkwürdig fanden wir, dass bei uns im Zimmer eine alte verschlossene Stahltüre war, wo auch immer diese hinführt. Flure, Aufzug, Treppenhaus, Rezeption - alles älteren Baujahrs, jedoch dafür gepflegt und sauber. Das Personal war zu jeder Zeit sehr freundlich, das Frühstück war sehr überschaubar, aber ok. Hier ist zu erwähnen, dass der gesamte Speisebereich (Oktober 2015) wohl renoviert wird, wir durften schon in einem neuen Bereich Speisen und der kam echt gelungen daher. Den Rest des Hauses ähnlich renovieren, dann gibt es auch einen Stern mehr. Unser Eindruck: das Hotel wird gerne von Handwerker-Trupps genutzt.
",Leibnizstrasse 6, Hotel Am Rathaus ,4.0 von fünf Punkten,9 Bewertungen,3 von fünf Punkten,
Münster bei Dieburg,,"64839 Münster bei Dieburg, Hessen, ",,https://www.tripadvisor.de/Hotel_Review-g1586890-d1591305-Reviews-Hotel_Am_Rathaus-Munster_bei_Dieburg_Hesse.html,Geht so...,"
Im Prinzop kein schlechtes Hotel, aber im 3 Sterne Bereich kenne ich Alternativen die einfach besser sind. Als Gast geht es mir nicht ausschliesdlich um die Bewertung der Sauberkeit. Vielmehr kommt es mir auf das Gesamtpaket an und dort spielt der Hygienefaktor ""allgemeines Wohlfuehlen"" eine große Rolle. Da sehe ich in diesem Hotel Potential. Freundlichkeit und Herzlichkeit haben mir definitiv gefehlt. Das Zimmer geht einigermaßen in Ordnung. Jedoch wird auf Details nicht geachtet. Die Dusche ist teilweise schon nicht mehr sauber, die alte Toilette gehört mal ausgetauscht, die abgerisse Tapete unterm Schreibtisch gehört repariert. Mein Zimmer wurde nicht gut gereinigt und am Wochenende erst garnicht geputzt. Meine Ladegeräte für Zahnbürste und Pad wurden aus der Dose gezogen und mir auf den Koffer gelegt......wie geaagt.....Wohlfuehlfaktor, der leidet natürlich unter solchen Dingen. Ich war hier für fast eine Woche zu Gast. Eine Auszeichnung erhielt das Hotel zurecht fuer sein tolles Frühstücksangebot.
",Leibnizstrasse 6, Hotel Am Rathaus ,4.0 von fünf Punkten,9 Bewertungen,3 von fünf Punkten,
Münster bei Dieburg,,"64839 Münster bei Dieburg, Hessen, ",,https://www.tripadvisor.de/Hotel_Review-g1586890-d1591305-Reviews-Hotel_Am_Rathaus-Munster_bei_Dieburg_Hesse.html,Top Adresse,"
Das Hotel ist sehr gepflegt und angenehm hell.",Leibnizstrasse 6, Hotel Am Rathaus ,4.0 von fünf Punkten,9 Bewertungen,4 von fünf Punkten,
Messel,,"64409 Messel, Hessen, ","Darmstadt, Deutschland",https://www.tripadvisor.de/Hotel_Review-g1053647-d1060001-Reviews-Hotel_Schnecken_Schroeder-Messel_Hesse.html,"90. Geburtstag, Feier mit Familie und Freunden, 42 Personen Mittagsmenue und Kaffeeausklang","
Nach Vorbesprechung desAblaufs war sehr schön eingedeckt. Äußerst freundliche Bedienung, alle Gerichte lecker und reichlich, Filetsteaks nach Wunsch auf den Punkt gebraten. Wartezeit etwas lang, was aber auch an den Gästen lag. Preise angemessen.
",Dieburger Strasse 276, Hotel Schnecken-Schröder ,3.5 von fünf Punkten,4 Bewertungen,4 von fünf Punkten,3.0 von 5
Dieburg,5,"64807 Dieburg, Hessen, ","Dieburg, Deutschland",https://www.tripadvisor.de/Hotel_Review-g2049630-d4875969-Reviews-Die_Schmankerlburg-Dieburg_Hesse.html,Tolles Essen,"
Neine Frau und ich sind oft in der Schmankerlburg zum Essen.",Frankfurter Straße 10, Die Schmankerlburg ,4.5 von fünf Punkten,3 Bewertungen,5 von fünf Punkten,
Groß-Zimmern,1,"64846 Groß-Zimmern, Hessen, ","Hamburg, Deutschland",https://www.tripadvisor.de/Hotel_Review-g2022664-d2075737-Reviews-Aviva_Apartment_Hotel-Gross_Zimmern_Hesse.html,Eine Klasse für sich,"
Die Lage mitten im Industriegebiet ist vielleicht etwas gewöhnungsbedürftig. Dafür punktet das Hotel mit freundlichem Personal, geräumigen, zweckmäßig ausgestatteten Zimmern. Die Zimmer sind sauber, haben Dusche/WC und meines besaß eine Küchenzeile, so dass ich theoretisch beim nahen real mein Abendessen holen und selber zubereiten konnte. Parkplätze sind kostenlos, Wlan ist kostenlos. Das Frühstück ist ebenfalls völlig in Ordnung. Von der Lage ist man in etwa 10 bis 15 Minuten je nach Verkehrsaufkommen in Darmstadt. Das Hotel verfügt über keine Bar, dafür steht ein Snackautomat in der Cafeteria zur Verfügung. Es herrscht ein sehr gutes Preis/Leistungsverhältnis.
",Roentgenstr. 16, Aviva Apartment Hotel ,4.0 von fünf Punkten,13 Bewertungen,5 von fünf Punkten,
Groß-Zimmern,1,"64846 Groß-Zimmern, Hessen, ","Roskilde, Dänemark",https://www.tripadvisor.de/Hotel_Review-g2022664-d2075737-Reviews-Aviva_Apartment_Hotel-Gross_Zimmern_Hesse.html,"Geräumig, sauber und freundliche Angestellte!","
Aviva Apartment liegt in einer Industriegegend, aber es ist einfach, um die Gegend herumzufahren und die Autobahn zu erreichen. Sauber und gut möbliert. Gute Betten und sehr freundliche Angestellte. Geräumige Zimmer mit Küche, großem Kühlschrank und endlich auch ein Hotel, das genug Kleiderbügel im Schrank hat. Wir werden hier auf jeden Fall wieder bleiben, wenn wir die Familie besuchen! :-)
",Roentgenstr. 16, Aviva Apartment Hotel ,4.0 von fünf Punkten,13 Bewertungen,4 von fünf Punkten,
Groß-Zimmern,7,"64846 Groß-Zimmern, Hessen, ","Frankfurt am Main, Deutschland",https://www.tripadvisor.de/Hotel_Review-g2022664-d2075737-Reviews-Aviva_Apartment_Hotel-Gross_Zimmern_Hesse.html,kundenunfreundlich,"
Leider kann ich dieses Hotel nicht empfehlen. Der Versuch, ein Zimmer telefonisch (oder per mail oder Fax, etc.) zu buchen, scheiterte. Beim Anruf meldete sich ein Mann mit ""hallo"", gab erst auf Nachfrage an, dass er für das Hotel zuständig sei. Fragen wurden sehr unfreundlich und kurz beantwortet (vielleicht weil Sonntag war), so als ob er nicht gestört werden wollte.",Roentgenstr. 16, Aviva Apartment Hotel ,4.0 von fünf Punkten,13 Bewertungen,1 von fünf Punkten,
Dieburg,4,"64807 Dieburg, Hessen, ","Ko Samui, Thailand",https://www.tripadvisor.de/Hotel_Review-g2049630-d2693864-Reviews-Hotel_Adria-Dieburg_Hesse.html,Hotel hätte ich das nicht genannt,"
Es ist ein riesiger Plattenbaukasten, in dem auf einem Flur ein paar Zimmer als ""Hotel"" umgebaut wurden. Macht eher den Eindruck eines Wohnheims. Schlechte Luft, schlechter Geruch, Zimmer hässlich, Ausblick auf ein vergammeltes Dach. Fliesen von vor 50 (?) Jahren, nicht mal Gästeseife, alles total lieblos. Für den Standard ist der Preis viel zu hoch! Da schläft man in heder Jugendherberge besser.
",Rheingaustr. 64, Hotel Adria ,1.5 von fünf Punkten,2 Bewertungen,2 von fünf Punkten,
Groß-Zimmern,1,"64846 Groß-Zimmern, Hessen, ","St. Gallen, Schweiz",https://www.tripadvisor.de/Hotel_Review-g2022664-d2075737-Reviews-Aviva_Apartment_Hotel-Gross_Zimmern_Hesse.html,Top Preis-Leistungsverhältnis,"
Im Industriegebiet Gross Zimmern (ein paar Meter entfernt vom Real Supermarkt).",Roentgenstr. 16, Aviva Apartment Hotel ,4.0 von fünf Punkten,13 Bewertungen,4 von fünf Punkten,
Groß-Zimmern,1,"64846 Groß-Zimmern, Hessen, ","Freiburg, Deutschland",https://www.tripadvisor.de/Hotel_Review-g2022664-d2075737-Reviews-Aviva_Apartment_Hotel-Gross_Zimmern_Hesse.html,"Freundlich, sauber und ruhig","
Nachdem wir, eine Gruppe von 5 Kollegen, gestern ein anderes Hotel in Dieburg wegen absolut mangelhaftem Zustand erst gar nicht bezogen haben, wurde uns das Aviva - Apartment - Hotel empfohlen. ",Roentgenstr. 16, Aviva Apartment Hotel ,4.0 von fünf Punkten,13 Bewertungen,4 von fünf Punkten,
Dieburg,5,"64807 Dieburg, Hessen, ",,https://www.tripadvisor.de/Hotel_Review-g2049630-d4875969-Reviews-Die_Schmankerlburg-Dieburg_Hesse.html,Alles ok,"
Normales Lokal ohne viel Schnick Schnack aber nettem Service und gutem Essen.Das Preis Leistungsverhältnis stimmt.Im Sommer hat man auch die Möglichkeit im Hof zu sitzen.Eigene Parkplätze sind nicht vorhanden, aber es gibt zahlreich öffentliche in unmittelbarer Nähe.
",Frankfurter Straße 10, Die Schmankerlburg ,4.5 von fünf Punkten,3 Bewertungen,4 von fünf Punkten,
Groß-Zimmern,1,"64846 Groß-Zimmern, Hessen, ",,https://www.tripadvisor.de/Hotel_Review-g2022664-d2075737-Reviews-Aviva_Apartment_Hotel-Gross_Zimmern_Hesse.html,Knackpunkt: großes Auto,"
Ich war geschäftlich mit einem Iveco unterwegs was mich in Saarbrücken gestern vor eine Herausforderung gestellt hat Durch die Lage in einem Industriegebiet hier aber null Problem. Der Empfang war ausgesprochen freundlich und hilfsbereit. Das Zimmer ist großzügig und dank der integrierten kleinen Küchenzeile und des fußläufig in knapp 10 Minuten erreichbaren real war die abendliche Verpflegung trotz der etwas abgelegenen Lage schnell, gut und günstig gelöst. Außerdem ist es angenehm ruhig hier.
",Roentgenstr. 16, Aviva Apartment Hotel ,4.0 von fünf Punkten,13 Bewertungen,4 von fünf Punkten,
Groß-Zimmern,1,"64846 Groß-Zimmern, Hessen, ","Berlin, Deutschland",https://www.tripadvisor.de/Hotel_Review-g2022664-d2075737-Reviews-Aviva_Apartment_Hotel-Gross_Zimmern_Hesse.html,Preis-Leistung Top incl Küche,"
Große Zimmer, teilweise mit Balkon, kostenfreie Parkplätze vor der Tür, großer Fernseher, WLAN, Küche mit, Herdplatten, Kühlschrank und Mikrowelle/Grill und Geschirr, kleine Flasche Wasser incl., Frühstück völlig in Ordnung, Kaffee gut und frisch, sehr freundlich (auch die französische Bulldogge, die einen freudig begrüßen kommt), fußläufig real, tegut und dm. Bad sauber aber nicht gemütlich ganz einfach weiß gefliest... Preis top
",Roentgenstr. 16, Aviva Apartment Hotel ,4.0 von fünf Punkten,13 Bewertungen,4 von fünf Punkten,
Groß-Zimmern,1,"64846 Groß-Zimmern, Hessen, ","Frankfurt am Main, Deutschland",https://www.tripadvisor.de/Hotel_Review-g2022664-d2075737-Reviews-Aviva_Apartment_Hotel-Gross_Zimmern_Hesse.html,Netter Empfang,"
Ich wohne in dieses Hotel jeder Woche (nur Arbeitstage) drei Monate und ich war ganz zufrieden. Empfangs Chef ist sehr nett und freundlich. Zimmern sind große und saubere. In Zimmer ist auch kleine Küche mit Kochherd, Kühlschrank und Mikrowelle. In der nähe ist Real und Bushaltestelle. Parkplatz und WLAN sind kostenlos.
",Roentgenstr. 16, Aviva Apartment Hotel ,4.0 von fünf Punkten,13 Bewertungen,5 von fünf Punkten,
Groß-Zimmern,1,"64846 Groß-Zimmern, Hessen, ","Rheine, Deutschland",https://www.tripadvisor.de/Hotel_Review-g2022664-d2075737-Reviews-Aviva_Apartment_Hotel-Gross_Zimmern_Hesse.html,Riesenzimmer ,"
War zum wiederholten Mal da. Sehr große Zimmer mit Kochnische, sauberes Bad, guter Service. Was will man mehr. Einzig ein Restaurant fehlt, aber es gibt Möglichkeiten in der Nähe. Parkplätze sind in ausreichender Menge vorhanden. Sehr netter und zuvorkommender Inhaber
",Roentgenstr. 16, Aviva Apartment Hotel ,4.0 von fünf Punkten,13 Bewertungen,4 von fünf Punkten,
Reinheim,,"64354 Reinheim, Hessen, ","Wuppertal, Deutschland",https://www.tripadvisor.de/Hotel_Review-g1586888-d1726721-Reviews-Hotel_Sunibel_Inn-Reinheim_Hesse.html,Solides Hotel für Geschäftsreisende,"
Habe das Hotel für eine Dienstreise nach Darmstadt gebucht, da in der Stadt selbst alle Hotels wg. der IAA ausgebucht waren. Es liegt ca. 15 km von Darmstadt entfernt in einem Vorort einer Kleinstadt in einem Mischgebiet (Wohn- und Gewerbegebiet), dadurch ist es dort sehr ruhig und -natürlich- abends etwas leblos, das kann man aber auch schätzen.",Hirschbachstr. 46, Hotel Sunibel Inn ,4.0 von fünf Punkten,5 Bewertungen,4 von fünf Punkten,3.0 von 5
Groß-Zimmern,1,"64846 Groß-Zimmern, Hessen, ",Deutschland,https://www.tripadvisor.de/Hotel_Review-g2022664-d2075737-Reviews-Aviva_Apartment_Hotel-Gross_Zimmern_Hesse.html,"Klein, unscheinbar aber fein...","
Kleines, ausgewogenes Hotel mit tollem Empfang und einfachen aber sauberen Zimmern.",Roentgenstr. 16, Aviva Apartment Hotel ,4.0 von fünf Punkten,13 Bewertungen,5 von fünf Punkten,
Groß-Zimmern,1,"64846 Groß-Zimmern, Hessen, ","Berlin, Deutschland",https://www.tripadvisor.de/Hotel_Review-g2022664-d2075737-Reviews-Aviva_Apartment_Hotel-Gross_Zimmern_Hesse.html,Sehr empfehlenswert!,"
Ich war für 4 Tage im Aviva Hotel und habe mich sehr wohlgefühlt, die Zimmer sind gut ausgestattet und sehr sauber. Frühstücksbuffet war auch sehr gut und mit EUR 8,00 nicht überteuert. Der Mitarbeiter (ist immer der gleiche) war super freundlich und hilfsbereit.",Roentgenstr. 16, Aviva Apartment Hotel ,4.0 von fünf Punkten,13 Bewertungen,5 von fünf Punkten,
